iter	Passed	Remaining
791	2197	577
792	2199	574
793	2204	571
794	2207	569
795	2209	566
796	2211	563
797	2213	560
798	2216	557
799	2219	554
800	2221	552
801	2223	548
802	2224	545
803	2227	542
804	2229	540
805	2231	537
806	2234	534
807	2236	531
808	2238	528
809	2240	525
810	2241	522
811	2244	519
812	2250	517
813	2252	514
814	2254	511
815	2258	509
816	2260	506
817	2262	503
818	2266	500
819	2269	498
820	2271	495
821	2274	492
822	2279	490
823	2282	487
824	2283	484
825	2285	481
826	2287	478
827	2290	475
828	2294	473
829	2296	470
830	2298	467
831	2300	464
832	2302	461
833	2304	458
834	2308	456
835	2310	453
836	2312	450
837	2314	447
838	2316	444
839	2318	441
840	2321	438
841	2323	436
842	2325	433
843	2327	430
844	2329	427
845	2331	424
846	2333	421
847	2336	418
848	2338	415
849	2339	412
850	2341	410
851	2343	407
852	2345	404
853	2347	401
854	2350	398
855	2352	395
856	2354	392
857	2357	390
858	2359	387
859	2361	384
860	2363	381
861	2365	378
862	2367	375
863	2369	372
864	2371	370
865	2373	367
866	2375	364
867	2377	361
868	2379	358
869	2381	355
870	2383	352
871	2386	350
872	2388	347
873	2390	344
874	2394	342
875	2397	339
876	2399	336
877	2401	333
878	2404	331
879	2407	328
880	2410	325
881	2414	323
882	2416	320
883	2419	317
884	2423	314
885	2428	312
886	2431	309
887	2433	306
888	2436	304
889	2438	301
890	2446	299
891	2448	296
892	2452	293
893	2454	291
894	2456	288
895	2460	285
896	2462	282
897	2465	280
898	2467	277
899	2470	274
900	2472	271
901	2474	268
902	2476	266
903	2478	263
904	2480	260
905	2482	257
906	2484	254
907	2488	252
908	2490	249
909	2491	246
910	2494	243
911	2496	240
912	2498	238
913	2500	235
914	2502	232
915	2504	229
916	2506	226
917	2508	224
918	2511	221
919	2513	218
920	2517	215
921	2519	213
922	2521	210
923	2523	207
924	2525	204
925	2527	201
926	2532	199
927	2534	196
928	2535	193
929	2537	191
930	2539	188
931	2541	185
932	2543	182
933	2547	180
934	2549	177
935	2551	174
936	2553	171
937	2555	168
938	2557	166
939	2560	163
940	2562	160
941	2564	157
942	2566	155
943	2568	152
944	2570	149
945	2572	146
946	2576	144
947	2578	141
948	2580	138
949	2582	135
950	2585	133
951	2587	130
952	2591	127
953	2593	125
954	2594	122
955	2597	119
956	2598	116
957	2600	114
958	2602	111
959	2604	108
960	2607	105
961	2611	103
962	2613	100
963	2615	97
964	2618	94
965	2622	92
966	2625	89
967	2627	86
968	2629	84
969	2631	81
970	2634	78
971	2640	76
972	2642	73
973	2648	70
974	2652	68
975	2655	65
976	2656	62
977	2658	59
978	2660	57
979	2661	54
980	2663	51
981	2666	48
982	2669	46
983	2671	43
984	2675	40
985	2678	38
986	2681	35
987	2684	32
988	2686	29
989	2688	27
990	2691	24
991	2692	21
992	2694	18
993	2698	16
994	2700	13
995	2702	10
996	2705	8
997	2707	5
998	2709	2
999	2712	0
