Player,Player_ID,Pos,Age,Exp,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AST% 3-4-5,OBPM 3-4-5,Yr
Danny Manning,330,PF,31,V,PHO,70,1794,19.8,0.554,0.009,0.299,7.3,17.9,12.8,13.6,2.1,1.9,10.5,24.1,3.5,3,6.5,0.174,1,1.3,2.3,1.9,N/A,N/A,1998
Danny Manning,330,PF,30,V,PHO,77,2134,17.9,0.574,0.045,0.316,7.5,18,12.8,13.7,2,2.6,15.1,22.5,2.8,2.4,5.2,0.117,0.4,1.6,2,2.2,N/A,N/A,1997
Danny Schayes,7,C,38,V,ORL,74,1272,10.9,0.479,0,0.321,8.8,13.7,11.2,6,1.5,1.9,12.6,17.5,0.6,1.4,2,0.076,-2.9,0.2,-2.7,-0.2,N/A,N/A,1998
Danny Schayes,7,PF,37,V,ORL,45,540,9.3,0.465,0.008,0.433,8.7,18.7,13.6,4.1,1.5,2.3,15.9,14.5,-0.1,0.7,0.6,0.055,-5.3,0.5,-4.8,-0.4,N/A,N/A,1997
Dante Cunningham,201967,PF,31,V,SAS,64,928,10.2,0.585,0.411,0.114,5.7,16.3,11,6.8,1.4,1.2,11.7,8.9,1,0.9,1.9,0.097,-1,0.8,-0.1,0.4,N/A,N/A,2019
Dante Cunningham,201967,SF,30,V,TOT,73,1562,10,0.539,0.462,0.143,5.5,14.9,10.3,4.3,1.2,1.5,7.9,11.6,1.1,1.3,2.4,0.074,-1.4,0.1,-1.4,0.2,N/A,N/A,2018
Dante Cunningham,201967,SF,29,V,NOP,66,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.1,1.2,1.4,7,10.7,1.4,1.6,3,0.088,-1.3,0.8,-0.5,0.6,N/A,N/A,2017
Dante Cunningham,201967,SF,28,V,NOP,80,1971,8.6,0.54,0.422,0.199,3.1,10.4,6.6,5.6,1.1,1.4,8.4,11,1.5,0.7,2.1,0.052,-1.1,-0.1,-1.2,0.4,N/A,N/A,2016
Dante Cunningham,201967,PF,27,V,NOP,66,1652,8.9,0.473,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,0.5,1.2,1.6,0.047,-2.6,1,-1.6,0.2,N/A,N/A,2015
Dante Cunningham,201967,PF,26,V,MIN,81,1635,12.6,0.474,0.01,0.132,7.3,14.9,11,7.7,1.9,2.7,7.2,15.1,0.9,2,2.9,0.085,-2.2,2.1,-0.1,0.8,N/A,N/A,2014
Dante Cunningham,201967,PF,25,V,MIN,80,2010,13.3,0.485,0.009,0.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,1.1,2.4,3.5,0.084,-2.1,1.1,-0.9,0.5,N/A,N/A,2013
Dante Cunningham,201967,PF,24,V,MEM,64,1124,14.9,0.538,0.007,0.247,9.3,16.4,12.8,5.2,2,2.5,8.6,13.6,1.8,1.7,3.4,0.147,-0.8,1.6,0.8,0.8,N/A,N/A,2012
Dante Cunningham,201967,PF,23,V,TOT,78,1637,10.7,0.483,0.028,0.131,6.9,13.9,10.3,4.3,1.8,2.2,9.3,15.7,0.3,1.7,2,0.06,-3.2,0.5,-2.8,-0.3,N/A,N/A,2011
Dante Cunningham,201967,4,22,R,POR,63,707,14.3,0.517,0.009,0.224,9.4,18.7,14,3.3,1.9,2.5,6,16.8,0.9,1,1.9,0.129,-2.1,0.2,-1.9,0,6.3,-1.8,2010
Dante Exum,203957,PG,23,V,UTA,42,664,11.2,0.516,0.257,0.357,2.7,8.3,5.5,24.1,1,0.6,15.7,21.3,0.2,0.7,1,0.069,-2.6,-1.4,-4,-0.3,N/A,N/A,2019
Dante Exum,203957,PG,21,V,UTA,66,1228,8.6,0.521,0.41,0.201,2.9,9.3,6.2,14.2,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,0.047,-2,-0.5,-2.5,-0.1,N/A,N/A,2017
Dante Exum,203957,1,19,R,UTA,82,1817,5.7,0.457,0.635,0.077,1.7,6.6,4.2,16.6,1.2,0.6,21.5,13.8,-1.1,1,-0.1,-0.003,-2.6,-1.3,-3.8,-0.8,19,-2,2015
Danuel House Jr.,1627863,3,25,R,HOU,39,979,12.2,0.646,0.706,0.282,2.8,13.3,7.9,5.9,1.1,1,11,14.1,1.6,0.7,2.3,0.113,0.4,-1.1,-0.6,0.3,N/A,N/A,2019
Dario Saric,203967,PF,24,V,TOT,81,2023,13.1,0.563,0.464,0.216,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,2.3,1.2,3.5,0.084,0.3,-1.4,-1.1,0.5,N/A,N/A,2019
Dario Saric,203967,PF,23,V,PHI,78,2310,15.8,0.582,0.448,0.233,7.5,16.4,12.1,13,1.1,0.7,13.1,20.9,3.8,2.8,6.6,0.137,1.6,-0.2,1.4,2,N/A,N/A,2018
Dario Saric,203967,4,22,R,PHI,81,2129,12.8,0.508,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,-1.2,2.2,1,0.023,-2,-0.2,-2.2,-0.1,N/A,N/A,2017
Darius Miles,2032,SF,24,V,POR,40,1286,12.5,0.48,0.02,0.32,2.2,15,8.5,10.8,1.8,2.3,14.5,25.1,-1.6,0.6,-1,-0.037,-3.7,-0.5,-4.2,-0.7,N/A,N/A,2006
Darius Miles,2032,SF,23,V,POR,63,1699,15.5,0.511,0.033,0.308,5,14.9,10.2,14.2,2.4,3.3,16.6,25.7,-0.7,2,1.3,0.036,-2.3,1.2,-1.1,0.4,N/A,N/A,2005
Darius Miles,2032,SF,22,V,TOT,79,2079,16.1,0.514,0.053,0.256,6.2,13.6,9.9,14,1.8,2.1,13.4,21.5,1.9,1.7,3.6,0.083,-0.3,0.1,-0.3,0.9,N/A,N/A,2004
Darius Miles,2032,SF,21,V,CLE,67,2008,9.7,0.435,0.022,0.241,6.2,14.2,10.1,14.9,1.7,2.4,20,19.2,-2.7,1.4,-1.3,-0.032,-4.2,0.6,-3.6,-0.8,N/A,N/A,2003
Darius Miles,2032,SF,20,V,LAC,82,2227,14.4,0.516,0.03,0.397,5.6,17.3,11.5,13.5,1.7,3.2,17.5,18.5,0.8,2.6,3.4,0.074,-1.6,2.1,0.5,1.4,N/A,N/A,2002
Darius Miles,2032,3,19,R,LAC,81,2133,14.7,0.518,0.03,0.378,7,18.3,12.8,8.1,1.3,4.1,16.7,19.1,0.5,2.6,3,0.068,-2.1,2,-0.1,1,14.4,-2.2,2001
Darius Miller,203121,SF,28,V,NOP,69,1757,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-0.1,-1.5,-1.7,0.1,N/A,N/A,2019
Darius Miller,203121,SF,27,V,NOP,82,1944,9.3,0.617,0.735,0.138,1,7.9,4.6,7.5,0.7,0.7,10.1,12.8,2.1,0.9,3,0.075,0.5,-1.6,-1,0.5,N/A,N/A,2018
Darius Miller,203121,SF,23,V,NOP,45,723,9,0.55,0.464,0.217,1.4,7,4.2,8.7,1.7,1,10.8,12.8,0.6,0.2,0.8,0.055,-0.7,-1.7,-2.3,-0.1,N/A,N/A,2014
Darius Miller,203121,3,22,R,NOH,52,694,6.3,0.529,0.519,0.074,1.3,12.2,6.7,9.3,1.3,1.4,17.1,9,0.2,0.3,0.5,0.034,-2.2,0,-2.2,0,-1,-10,2013
Darius Morris,202721,1,22,R,LAL,48,683,8.1,0.475,0.351,0.197,4,5.2,4.6,16.8,1.6,0.2,18.1,16.2,-0.1,0.3,0.2,0.016,-2.6,-1.7,-4.3,-0.4,-1,-10,2013
Darius Songaila,2443,C,31,V,NOH,75,1410,11.6,0.522,0.012,0.152,4.8,14.7,9.7,7.9,2.3,0.8,13.5,19.5,0,1.2,1.3,0.044,-3.1,0,-3.1,-0.4,N/A,N/A,2010
Darius Songaila,2443,C,30,V,WAS,77,1521,13.9,0.57,0.002,0.197,5.6,12.1,8.8,10.3,2.2,1.1,13,17.1,1.8,0.7,2.4,0.076,-0.8,-0.7,-1.5,0.2,N/A,N/A,2009
Darius Songaila,2443,C,29,V,WAS,80,1554,11.8,0.496,0.004,0.156,6,14.7,10.2,14.2,1.8,0.9,14.7,17.3,0.6,1.2,1.7,0.053,-2.2,0,-2.2,-0.1,N/A,N/A,2008
Darius Songaila,2443,PF,28,V,WAS,37,700,13.6,0.567,0.009,0.24,7,15.2,11,9,1.2,1.1,14.7,18.3,0.8,0.3,1.1,0.078,-1.3,-1.4,-2.7,-0.1,N/A,N/A,2007
Darius Songaila,2443,PF,27,V,CHI,62,1329,13.6,0.524,0.01,0.234,6.6,14.6,10.6,11.5,1.4,0.9,13.6,21.3,0.7,1.8,2.5,0.09,-1.9,0.8,-1.1,0.3,N/A,N/A,2006
Darius Songaila,2443,PF,26,V,SAC,81,1668,14.9,0.566,0.006,0.227,8.4,14.7,11.5,10.5,1.6,0.8,11.5,16.2,3.1,1.2,4.3,0.124,-0.1,-0.4,-0.5,0.6,N/A,N/A,2005
Darius Songaila,2443,4,25,R,SAC,73,976,14.6,0.541,0,0.322,10.8,15.2,13.1,7.6,2.2,0.9,12.1,16.4,1.7,0.9,2.6,0.129,-0.6,-0.4,-1,0.3,12.2,-1.9,2004
Darko Milicic,2545,C,25,V,MIN,69,1686,12.2,0.482,0,0.199,8.5,15.4,11.8,9.9,1.6,6.3,19.4,19.7,-1.5,1.7,0.2,0.007,-3.8,3,-0.8,0.5,N/A,N/A,2011
Darko Milicic,2545,C,24,V,TOT,32,685,12.8,0.497,0.005,0.137,7.5,17.3,12.3,10.7,1.6,3.7,13.9,16,0.1,0.6,0.7,0.05,-2.6,1.9,-0.7,0.2,N/A,N/A,2010
Darko Milicic,2545,C,23,V,MEM,61,1034,13.8,0.533,0,0.395,9.7,21.8,15.7,5.6,1.1,4,13.3,16.3,0.7,1.2,1.9,0.088,-3,0.8,-2.2,0,N/A,N/A,2009
Darko Milicic,2545,C,22,V,MEM,70,1663,11,0.456,0.002,0.242,8.5,20.2,14.3,5.4,1,5,15.4,17.5,-1.4,1.6,0.2,0.006,-5.1,1.6,-3.5,-0.6,N/A,N/A,2008
Darko Milicic,2545,PF,21,V,ORL,80,1913,13.8,0.492,0.002,0.42,9.6,18.4,14.1,7.9,1.2,5.9,16,18.7,0,3.3,3.3,0.082,-2.9,3.2,0.4,1.1,N/A,N/A,2007
Darko Milicic,2545,5,20,R,TOT,55,767,15.2,0.52,0.009,0.214,7.2,16.8,12.1,9.2,1,7.8,16.6,19,0,1.1,1.2,0.073,-3.1,3.4,0.3,0.4,6.6,-4,2006
Darrell Armstrong,353,PG,39,V,NJN,50,549,8.7,0.499,0.627,0.273,3.6,10.6,7.1,20.5,2.7,0.3,25,13.7,-0.2,0.5,0.3,0.024,-2.6,-0.4,-3,-0.1,N/A,N/A,2008
Darrell Armstrong,353,PG,38,V,IND,81,1275,15.1,0.547,0.568,0.247,3,9.3,6.1,24.8,2.9,0.4,15.4,17.4,1.7,1.5,3.2,0.121,1.7,-0.6,1.1,1,N/A,N/A,2007
Darrell Armstrong,353,PG,37,V,DAL,62,622,7.3,0.444,0.375,0.328,3.6,12,7.8,20.6,2.4,0.4,28.4,15.4,-0.7,0.7,0,0.003,-3.1,0.2,-2.9,-0.1,N/A,N/A,2006
Darrell Armstrong,353,PG,36,V,TOT,66,988,11,0.43,0.401,0.245,4,9.3,6.7,27.9,2.4,0.6,17.9,17.3,-0.2,1,0.8,0.039,-1.2,-0.4,-1.6,0.1,N/A,N/A,2005
Darrell Armstrong,353,PG,35,V,NOH,79,2247,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,2.8,2.5,5.3,0.114,2.3,-0.3,1.9,2.2,N/A,N/A,2004
Darrell Armstrong,353,PG,34,V,ORL,82,2350,14.6,0.53,0.361,0.292,4.3,10.2,7.2,21.7,3,0.4,18.1,16.9,2.7,2.2,4.9,0.1,0.8,0.3,1.2,1.9,N/A,N/A,2003
Darrell Armstrong,353,PG,33,V,ORL,82,2730,16.7,0.553,0.481,0.248,3.4,9.7,6.5,25.5,3,0.3,16,17.9,5,2.6,7.6,0.134,3,0,3,3.4,N/A,N/A,2002
Darrell Armstrong,353,PG,32,V,ORL,75,2767,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21,5.8,2.9,8.7,0.151,4,-0.5,3.5,3.8,N/A,N/A,2001
Darrell Armstrong,353,PG,31,V,ORL,82,2590,19.5,0.542,0.36,0.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,4.6,3.4,8,0.149,4.3,0,4.4,4.2,N/A,N/A,2000
Darrell Armstrong,353,PG,30,V,ORL,50,1502,22.2,0.575,0.362,0.341,4,10,7,40.8,3.9,0.2,20.8,22.9,3.8,2.7,6.4,0.205,5.1,0.8,5.9,3,N/A,N/A,1999
Darrell Armstrong,353,PG,29,V,ORL,48,1236,15.7,0.509,0.179,0.324,6.1,9.2,7.6,33.4,2.6,0.3,20.5,20.2,1.2,1.3,2.5,0.096,1.1,0,1.1,1,N/A,N/A,1998
Darrell Armstrong,353,PG,28,V,ORL,67,1010,14.7,0.525,0.525,0.307,4,4.9,4.4,29.7,3.3,0.7,20.2,22.4,0.7,1.1,1.8,0.085,0.9,-1.7,-0.7,0.3,N/A,N/A,1997
Darrell Arthur,201589,PF,28,V,DEN,41,639,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,N/A,N/A,2017
Darrell Arthur,201589,PF,27,V,DEN,70,1516,12.5,0.514,0.239,0.108,6.2,15.4,10.7,10,1.8,2.6,11.4,16.7,1,1.3,2.3,0.072,-1.2,0.8,-0.3,0.6,N/A,N/A,2016
Darrell Arthur,201589,PF,26,V,DEN,58,988,11.5,0.466,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2,N/A,N/A,2015
Darrell Arthur,201589,SF,25,V,DEN,68,1161,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8,1.6,3,11.7,18.1,-0.5,1.2,0.7,0.029,-3.8,1,-2.8,-0.2,N/A,N/A,2014
Darrell Arthur,201589,PF,24,V,MEM,59,970,11.8,0.477,0.05,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,0.2,1.5,1.7,0.084,-2.9,0.5,-2.4,-0.1,N/A,N/A,2013
Darrell Arthur,201589,PF,22,V,MEM,80,1609,15.7,0.534,0.01,0.215,8.5,17,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,0.113,-1.6,0.3,-1.3,0.3,N/A,N/A,2011
Darrell Arthur,201589,4,20,R,MEM,76,1464,11.3,0.456,0.005,0.138,8.9,20.3,14.5,5,1.9,2.9,9.2,16.3,-0.1,1.8,1.7,0.055,-3.9,0.8,-3.1,-0.4,6.3,-2.6,2009
Darren Collison,201954,PG,31,V,IND,76,2143,16.7,0.574,0.294,0.288,1.9,9.9,6,29.9,2.5,0.4,14.4,17.7,3.9,2.9,6.8,0.153,1.2,0,1.2,1.8,N/A,N/A,2019
Darren Collison,201954,PG,30,V,IND,69,2018,18.8,0.61,0.321,0.226,2.1,7.8,5,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,3.1,-1,2.2,2.1,N/A,N/A,2018
Darren Collison,201954,PG,29,V,SAC,68,2063,15.3,0.57,0.245,0.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.8,-2.3,-1.5,0.3,N/A,N/A,2017
Darren Collison,201954,PG,28,V,SAC,74,2219,15.9,0.591,0.28,0.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,1.8,-2.2,-0.4,0.9,N/A,N/A,2016
Darren Collison,201954,PG,27,V,SAC,45,1565,17.5,0.575,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,3,0.8,3.8,0.116,2.8,-1.3,1.5,1.4,N/A,N/A,2015
Darren Collison,201954,PG,26,V,LAC,80,2069,16.2,0.575,0.272,0.323,2.6,7.3,5,21.9,2.2,0.6,14.3,19.7,3.8,2,5.9,0.136,1.4,-0.4,1,1.6,N/A,N/A,2014
Darren Collison,201954,PG,25,V,DAL,81,2372,16.3,0.575,0.188,0.38,1.5,8.7,5.1,26.8,2.2,0.3,17,19.6,4,1.7,5.6,0.114,1.1,-0.9,0.2,1.3,N/A,N/A,2013
Darren Collison,201954,PG,24,V,IND,60,1878,13.6,0.526,0.18,0.293,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17,2.3,1.5,3.8,0.098,0.5,-0.8,-0.3,0.8,N/A,N/A,2012
Darren Collison,201954,PG,23,V,IND,79,2360,15.6,0.534,0.143,0.267,1.9,8.6,5.3,28.9,1.9,0.4,16.6,21.9,2.1,2.2,4.3,0.087,0.2,-0.9,-0.7,0.8,N/A,N/A,2011
Darren Collison,201954,1,22,R,NOH,76,2109,16.5,0.546,0.146,0.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,1.9,1.1,2.9,0.067,0.2,-1.9,-1.7,0.2,24.6,1,2010
Darrick Martin,239,PG,28,V,SAC,71,893,11.9,0.5,0.354,0.34,0.8,4.3,2.6,20.1,1.5,0.1,13.4,21.7,0.7,0.6,1.3,0.067,-1.2,-3.4,-4.6,-0.6,N/A,N/A,2000
Darrick Martin,239,PG,27,V,LAC,37,941,11.6,0.475,0.381,0.273,0.6,5.7,3,25.6,2.5,0.3,17.7,18.3,0.4,-0.2,0.2,0.01,-0.3,-3.3,-3.7,-0.4,N/A,N/A,1999
Darrick Martin,239,PG,26,V,LAC,82,2299,12.3,0.509,0.401,0.297,0.9,7.2,4.1,23.2,1.9,0.3,15.7,18.9,2,-0.1,1.9,0.041,0.1,-2.9,-2.8,-0.5,N/A,N/A,1998
Darrick Martin,239,PG,25,V,LAC,82,1820,16.9,0.539,0.326,0.348,1.6,5.8,3.6,31.6,1.6,0.1,13.3,23.4,3.9,0.7,4.6,0.121,2.3,-4,-1.7,0.1,N/A,N/A,1997
Darvin Ham,1032,SG,29,V,ATL,75,926,5.5,0.464,0.019,0.497,9.3,9.5,9.4,6.4,0.9,1.4,25.1,12.8,-0.7,0.3,-0.4,-0.021,-4.4,-0.9,-5.4,-0.8,N/A,N/A,2003
Darvin Ham,1032,SF,28,V,MIL,70,1208,9.7,0.571,0.033,0.583,9.1,10.1,9.7,9.1,1.1,2.2,23.8,13.5,0.7,0.6,1.2,0.05,-2.1,0,-2.1,0,N/A,N/A,2002
Darvin Ham,1032,SF,27,V,MIL,29,540,10.1,0.537,0.038,0.613,11.8,13.6,12.7,6.5,1.6,2.9,24.5,11.3,0.4,0.5,0.9,0.079,-1.6,1.6,-0.1,0.3,N/A,N/A,2001
Darvin Ham,1032,SF,26,V,MIL,35,792,12.8,0.545,0.008,0.609,12.6,12.8,12.7,7.5,1.9,2.8,15.2,10.7,1.2,0.5,1.7,0.101,0.7,1.6,2.3,0.9,N/A,N/A,2000
Darvin Ham,1032,3,24,R,WAS,71,635,9.2,0.531,0,0.712,12.5,10.9,11.7,3.6,1.7,2.8,21.3,12.1,0.2,0.7,0.9,0.069,-2.9,0.9,-2,0,7.6,-2.8,1998
David Benoit,128,SF,29,V,TOT,77,1123,10.5,0.477,0.417,0.181,5.9,15.6,10.5,3.7,1.7,1.3,10.6,19.4,0.5,1.1,1.6,0.067,-1.7,-1.9,-3.7,-0.5,N/A,N/A,1998
David Harrison,2758,C,25,V,IND,55,702,8.6,0.539,0,0.565,6.5,11.9,9.1,3,1.4,6.3,21.5,16.7,-0.5,0.9,0.4,0.03,-5.7,2.2,-3.6,-0.3,N/A,N/A,2008
David Harrison,2758,C,23,V,IND,67,1034,11.8,0.519,0,0.592,9.7,18.4,14.2,2.4,1.2,4.2,17.6,20.2,-0.4,1.9,1.5,0.068,-5.1,0.9,-4.2,-0.6,N/A,N/A,2006
David Harrison,2758,5,22,R,IND,43,760,12.9,0.589,0,0.495,7.7,13.4,10.6,3.2,1.2,5.5,19.1,17.5,0.3,1.1,1.4,0.09,-3.2,1.9,-1.3,0.1,3.6,-6.2,2005
David Lee,101135,PF,33,V,SAS,79,1477,18.4,0.613,0,0.269,11.6,21.9,16.9,13,1.1,2.2,14.9,16.9,3.2,2.5,5.7,0.186,0.7,2.5,3.2,1.9,N/A,N/A,2017
David Lee,101135,PF,32,V,TOT,55,903,19.6,0.568,0.003,0.278,12,24.6,18.3,15.5,1.2,2.5,14.9,21.5,1.7,1.4,3,0.161,-0.3,1.7,1.4,0.8,N/A,N/A,2016
David Lee,101135,PF,31,V,GSW,49,904,17.8,0.541,0.006,0.332,10,20.3,15.3,13.7,1.7,2.1,12,19.6,1.6,1.6,3.2,0.168,-0.6,2,1.4,0.8,N/A,N/A,2015
David Lee,101135,PF,30,V,GSW,69,2288,19.1,0.566,0.001,0.302,8.8,21.6,15.3,10.9,1,0.9,12,24.3,4.1,3.5,7.6,0.16,-0.1,0.8,0.8,1.6,N/A,N/A,2014
David Lee,101135,PF,29,V,GSW,79,2907,19.2,0.561,0.003,0.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,5.4,3.7,9.1,0.15,1.1,1.5,2.5,3.3,N/A,N/A,2013
David Lee,101135,PF,28,V,GSW,57,2121,19.7,0.549,0.005,0.304,9.2,19.9,14.6,13.6,1.3,0.8,12.5,26,3.8,1.2,5,0.113,1.1,-0.7,0.4,1.3,N/A,N/A,2012
David Lee,101135,PF,27,V,GSW,73,2634,17.8,0.549,0.003,0.273,9.1,21.9,15.4,14,1.4,0.9,13.4,21.2,4.1,2,6,0.11,0.1,0.1,0.3,1.5,N/A,N/A,2011
David Lee,101135,C,26,V,NYK,81,3019,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1,11.9,23.8,7.4,2.9,10.3,0.163,1.9,1,2.9,3.7,N/A,N/A,2010
David Lee,101135,C,25,V,NYK,81,2824,19,0.59,0.003,0.347,9.6,27.9,18.4,10.1,1.4,0.6,12,19.2,5.9,3.1,9,0.154,0.4,1.1,1.5,2.5,N/A,N/A,2009
David Lee,101135,PF,24,V,NYK,81,2356,18,0.606,0.003,0.383,11.3,24.1,17.5,6.7,1.2,1,11.8,15.6,5.6,1.8,7.4,0.151,0.6,0.2,0.8,1.7,N/A,N/A,2008
David Lee,101135,PF,23,V,NYK,58,1731,20.2,0.652,0,0.433,13.6,27.6,20.7,10.2,1.5,1.1,16.2,14.9,4.8,2.1,6.9,0.191,2.2,1.6,3.8,2.5,N/A,N/A,2007
David Lee,101135,3,22,R,NYK,67,1129,15.4,0.607,0,0.535,11.6,21.1,16.3,6.5,1.4,1.5,15.2,13.5,2,0.8,2.7,0.116,0.2,0.2,0.4,0.7,11.8,1,2006
David Noel,200786,4,22,R,MIL,68,792,9,0.47,0.299,0.243,6.2,12.2,9.1,11.7,1.6,0.9,17,13.4,0.1,0.3,0.4,0.024,-2.6,-0.8,-3.4,-0.3,-1,-10,2007
David Nwaba,1628021,SG,26,V,CLE,51,984,12.5,0.558,0.286,0.324,4.4,14.4,9.2,8.1,1.8,1.5,8.8,14.6,1.1,0.3,1.4,0.069,-1.1,-0.6,-1.7,0.1,N/A,N/A,2019
David Nwaba,1628021,2,25,R,CHI,70,1646,12.2,0.542,0.123,0.48,5.6,16,10.6,9.4,1.7,1.6,13.1,15.6,1.1,1.4,2.4,0.071,-2.5,0.9,-1.6,0.1,N/A,N/A,2018
David Robinson,764,C,37,V,SAS,64,1676,17.8,0.531,0,0.51,11.8,22.8,17.6,5.9,1.7,4.6,13.9,16.5,2.5,3.6,6,0.172,-1.2,3.3,2.1,1.7,N/A,N/A,2003
David Robinson,764,C,36,V,SAS,78,2303,20.3,0.562,0,0.588,9.9,22,16.2,7,2,4.3,10.9,19.2,5,5.1,10.1,0.211,0.4,3.5,3.9,3.4,N/A,N/A,2002
David Robinson,764,C,35,V,SAS,80,2371,23.7,0.559,0.001,0.571,10.4,22,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,12.1,0.246,1.4,4.1,5.5,4.5,N/A,N/A,2001
David Robinson,764,C,34,V,SAS,80,2557,24.6,0.568,0.002,0.496,9,24.5,17.1,10.3,2,4.9,11.6,25.6,6.2,6.4,12.7,0.238,1.6,3.9,5.5,4.8,N/A,N/A,2000
David Robinson,764,C,33,V,SAS,49,1554,24.9,0.564,0.002,0.689,11.4,23.4,17.8,12.1,2.4,5.3,13.6,23.8,4,4.4,8.4,0.261,2.2,5.3,7.4,3.7,N/A,N/A,1999
David Robinson,764,C,32,V,SAS,73,2457,27.8,0.581,0.004,0.62,12,23.7,18.2,15.9,1.4,5.5,13,29.7,7.8,6,13.8,0.269,3.7,4.1,7.8,6.1,N/A,N/A,1998
David Wesley,133,SG,35,V,HOU,71,2372,9.6,0.546,0.483,0.333,1.2,7.5,4.4,14.6,1.4,0.2,15.7,15.3,1.4,2.2,3.6,0.072,-0.6,-0.1,-0.7,0.8,N/A,N/A,2006
David Wesley,133,SG,34,V,TOT,80,2774,11.8,0.513,0.375,0.225,1.6,8,4.8,16.5,1.9,0.3,10.9,17.5,2.3,2.8,5.2,0.089,0.3,0.1,0.4,1.6,N/A,N/A,2005
David Wesley,133,SG,33,V,NOH,61,2001,12.6,0.483,0.356,0.228,1.6,6.2,3.8,16.1,1.9,0.5,10.2,22.4,1.4,1.4,2.8,0.067,0.1,-2,-2,0,N/A,N/A,2004
David Wesley,133,SG,32,V,NOH,73,2710,15.1,0.533,0.305,0.229,1.6,5.9,3.8,16.4,2.2,0.2,10.4,21.4,4.5,2.5,7,0.124,2,-1.2,0.8,1.9,N/A,N/A,2003
David Wesley,133,SG,31,V,CHH,67,2487,11.3,0.479,0.281,0.207,2,4.5,3.3,16.2,1.6,0.4,10.7,20.4,1.1,1.5,2.6,0.05,-0.1,-1.6,-1.7,0.2,N/A,N/A,2002
David Wesley,133,SG,30,V,CHH,82,3106,15.3,0.509,0.208,0.274,2.4,5.9,4.1,21.7,2.2,0.4,11,23.1,4.2,3.4,7.6,0.117,1.4,-1.1,0.3,1.8,N/A,N/A,2001
David Wesley,133,PG,29,V,CHH,82,2760,15,0.519,0.26,0.288,1.6,7.4,4.6,28.2,2,0.3,12.9,20.1,3.4,2.7,6.1,0.106,1.3,-1.4,-0.1,1.3,N/A,N/A,2000
David Wesley,133,PG,28,V,CHH,50,1848,16.9,0.561,0.312,0.35,1.5,8.4,5.1,31.3,2.9,0.4,18.4,19.8,3.1,1.7,4.8,0.124,2.6,-0.6,1.9,1.8,N/A,N/A,1999
David Wesley,133,PG,27,V,CHH,81,2845,15.2,0.532,0.197,0.333,2.1,6.9,4.5,30.2,2.6,0.8,18.6,19.8,3.3,2.5,5.8,0.098,1,-0.8,0.3,1.6,N/A,N/A,1998
David Wesley,133,PG,26,V,BOS,74,2991,16.5,0.563,0.294,0.296,2.4,8.2,5.1,29.1,2.7,0.3,16.1,18.8,5,1.1,6.1,0.097,2.4,-1.5,0.9,2.2,N/A,N/A,1997
David West,2561,C,37,V,GSW,73,999,20.9,0.6,0.021,0.209,7.7,18.2,13.3,20.5,2.3,5.9,16.2,21.7,1.8,1.7,3.5,0.168,-0.2,3.2,3,1.3,N/A,N/A,2018
David West,2561,C,36,V,GSW,68,854,16.6,0.571,0.032,0.222,6.4,18.8,13,24.1,2.4,4.4,22,17.9,0.9,1.7,2.6,0.148,-1.7,3.9,2.2,0.9,N/A,N/A,2017
