Player,Player_ID,Pos,Age,Exp,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AST% 3-4-5,OBPM 3-4-5,Yr
Dell Curry,209,SG,35,V,TOR,67,1095,14.9,0.542,0.533,0.07,1.1,9.4,5.1,14.1,1.5,0.6,7.9,20.5,1.6,0.6,2.2,0.098,1.8,-3.2,-1.4,0.2,N/A,N/A,2000
Dell Curry,209,SG,34,V,MIL,42,864,18.7,0.603,0.432,0.101,2.6,9.2,5.9,10.3,2.3,0.3,11.4,21.9,2,0.6,2.6,0.144,3.9,-2,1.9,0.8,N/A,N/A,1999
Dell Curry,209,SG,33,V,CHH,52,971,15.1,0.536,0.334,0.12,3.3,9.2,6.3,12.9,1.7,0.3,10.6,24.3,1,0.7,1.7,0.085,1.2,-2.7,-1.5,0.1,N/A,N/A,1998
Dell Curry,209,SG,32,V,CHH,68,2078,15,0.561,0.354,0.17,2.4,9.7,6.1,10,1.6,0.5,9.4,22.5,2.8,1,3.8,0.089,1.5,-2.2,-0.7,0.7,N/A,N/A,1997
Delon Wright,1626153,PG,26,V,TOT,75,1699,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11,18.1,1.9,2.4,4.3,0.121,0,1.5,1.5,1.5,N/A,N/A,2019
Delon Wright,1626153,1,25,R,TOR,69,1433,16.5,0.574,0.354,0.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,0.152,1.2,1.6,2.8,1.7,N/A,N/A,2018
Delonte West,2753,PG,28,V,DAL,44,1060,15.3,0.539,0.211,0.194,1.4,9.3,5.4,22.2,2.9,0.8,16.3,20.4,0.8,1.4,2.2,0.098,-0.3,0.7,0.5,0.7,N/A,N/A,2012
Delonte West,2753,SG,26,V,CLE,60,1500,13.8,0.53,0.177,0.326,2.4,10.6,6.7,20,1.9,1.4,15.3,18.3,1.3,2,3.3,0.106,-1.1,0.8,-0.3,0.6,N/A,N/A,2010
Delonte West,2753,SG,25,V,CLE,64,2152,14.1,0.559,0.365,0.173,1.8,9.2,5.6,16.6,2.4,0.5,12,16.7,3,3.4,6.4,0.142,1.1,1.2,2.3,2.3,N/A,N/A,2009
Delonte West,2753,PG,24,V,TOT,61,1533,12.1,0.492,0.284,0.192,2.2,11.9,7,23.5,2,1.4,18.5,18.3,-0.2,1.5,1.3,0.041,-1.8,0.4,-1.4,0.2,N/A,N/A,2008
Delonte West,2753,SG,23,V,BOS,69,2219,14,0.526,0.248,0.275,1.7,9.7,5.6,23.5,1.7,1.2,14.8,19.3,1.9,1.8,3.7,0.081,0.2,-0.5,-0.3,1,N/A,N/A,2007
Delonte West,2753,PG,22,V,BOS,71,2418,15.1,0.574,0.319,0.148,2.9,11.4,7.3,22.5,1.8,1.5,15.4,16.4,3.6,2.1,5.7,0.114,1.6,0.4,1.9,2.4,N/A,N/A,2006
Delonte West,2753,2,21,R,BOS,39,507,12.3,0.524,0.432,0.174,3.3,11.5,7.5,16.4,2.1,1.2,12.6,17,0.5,0.5,0.9,0.09,0.1,-0.7,-0.6,0.2,21,0,2005
DeMar DeRozan,201942,SG,29,V,SAS,77,2688,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,0.4,0.5,0.9,2,N/A,N/A,2019
DeMar DeRozan,201942,SG,28,V,TOR,80,2711,21,0.555,0.203,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,2.7,-0.9,1.8,2.6,N/A,N/A,2018
DeMar DeRozan,201942,SG,27,V,TOR,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,9,0.166,2.4,-1.5,0.9,1.9,N/A,N/A,2017
DeMar DeRozan,201942,SG,26,V,TOR,78,2804,21.5,0.55,0.101,0.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,7.5,2.4,9.9,0.169,2.7,-1.2,1.4,2.4,N/A,N/A,2016
DeMar DeRozan,201942,SG,25,V,TOR,60,2100,17.4,0.51,0.089,0.438,2.3,12.9,7.6,17,1.8,0.4,10.4,28.4,2.6,1.4,4,0.09,-0.2,-1.4,-1.6,0.2,N/A,N/A,2015
DeMar DeRozan,201942,SG,24,V,TOR,79,3017,18.4,0.532,0.149,0.448,2,11.3,6.6,18.9,1.5,0.7,9.5,28,5.8,3,8.8,0.141,1.4,-0.7,0.7,2,N/A,N/A,2014
DeMar DeRozan,201942,SG,23,V,TOR,82,3013,14.7,0.523,0.097,0.347,1.9,10.9,6.3,12,1.3,0.6,9.6,24.2,3.1,1.6,4.7,0.075,-0.5,-1.4,-1.9,0,N/A,N/A,2013
DeMar DeRozan,201942,SG,22,V,TOR,63,2206,12.8,0.503,0.102,0.367,2.1,9,5.6,10.8,1.2,0.6,10.5,25,1.1,1.4,2.5,0.054,-1.4,-1.5,-2.8,-0.5,N/A,N/A,2012
DeMar DeRozan,201942,SG,21,V,TOR,82,2851,14.5,0.53,0.045,0.348,3,10.2,6.5,8.6,1.5,0.8,9.8,23.2,2.8,0.5,3.2,0.055,-0.6,-1.9,-2.4,-0.3,N/A,N/A,2011
DeMar DeRozan,201942,2,20,R,TOR,77,1664,12.5,0.554,0.031,0.379,4.8,10.9,7.9,4.9,1.3,0.8,9.4,18.1,2,0.3,2.3,0.066,-0.9,-1.9,-2.8,-0.3,14.2,-0.1,2010
DeMarcus Cousins,202326,C,28,V,GSW,30,771,21.4,0.562,0.256,0.388,6.2,27,17.1,20.4,2.5,4.8,14.2,28.1,0.9,1.5,2.4,0.151,0.2,3.4,3.6,1.1,N/A,N/A,2019
DeMarcus Cousins,202326,C,27,V,NOP,48,1737,22.6,0.583,0.34,0.456,6.8,30.9,19.2,23,2.2,3.5,18.9,31.9,1.5,3.2,4.7,0.13,1.9,3.6,5.5,3.3,N/A,N/A,2018
DeMarcus Cousins,202326,C,26,V,TOT,72,2465,25.7,0.562,0.254,0.468,7.1,29.2,18.2,25.8,2,3.3,13.5,36.5,3.8,3.8,7.6,0.149,3.9,2.6,6.6,5.3,N/A,N/A,2017
DeMarcus Cousins,202326,C,25,V,SAC,65,2246,23.6,0.538,0.158,0.498,7.7,28.2,18,17,2.2,3.3,13.3,35.4,2.4,3.3,5.7,0.122,1,1.6,2.6,2.6,N/A,N/A,2016
DeMarcus Cousins,202326,C,24,V,SAC,59,2013,25.2,0.545,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4,16.3,34.1,2.8,3.2,6,0.144,1.4,3.3,4.7,3.4,N/A,N/A,2015
DeMarcus Cousins,202326,C,23,V,SAC,71,2298,26.1,0.555,0.006,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,N/A,N/A,2014
DeMarcus Cousins,202326,C,22,V,SAC,75,2289,20.2,0.524,0.021,0.408,10.9,27,18.7,15.3,2.4,1.9,15.5,28.1,2,2.3,4.4,0.092,0,1,1,1.7,N/A,N/A,2013
DeMarcus Cousins,202326,C,21,V,SAC,64,1950,21.7,0.499,0.014,0.373,14.2,25.9,19.8,9.5,2.4,2.8,12.8,29.7,2.1,2.2,4.2,0.104,-0.4,0,-0.3,0.8,N/A,N/A,2012
DeMarcus Cousins,202326,5,20,R,SAC,81,2309,14.6,0.484,0.018,0.4,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,-1.9,2.9,1.1,0.022,-2.9,1.5,-1.4,0.4,17.7,1.1,2011
DeMarre Carroll,201960,PF,32,V,BRK,67,1703,12.1,0.546,0.539,0.421,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,1.5,1.6,3.1,0.088,-1,-0.7,-1.7,0.1,N/A,N/A,2019
DeMarre Carroll,201960,SF,31,V,BRK,73,2180,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1,10.3,19.8,2.3,1.8,4.1,0.091,0.4,-0.3,0.2,1.2,N/A,N/A,2018
DeMarre Carroll,201960,SF,30,V,TOR,72,1882,11.9,0.531,0.583,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5,1.7,2.1,3.8,0.097,0.6,0.4,1,1.4,N/A,N/A,2017
DeMarre Carroll,201960,SF,29,V,TOR,26,786,11.9,0.49,0.437,0.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,0.2,1,1.2,0.074,0,0.3,0.2,0.4,N/A,N/A,2016
DeMarre Carroll,201960,SF,28,V,ATL,70,2189,15.9,0.603,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,4.3,2.8,7,0.154,2.4,0.5,2.9,2.7,N/A,N/A,2015
DeMarre Carroll,201960,SF,27,V,ATL,73,2341,13.9,0.575,0.417,0.22,5.3,14.5,10,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,0.119,1,1.1,2.1,2.4,N/A,N/A,2014
DeMarre Carroll,201960,SF,26,V,UTA,66,1111,15.5,0.535,0.216,0.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,2,1.1,3.1,0.134,1.4,0.7,2,1.1,N/A,N/A,2013
DeMarre Carroll,201960,3,23,R,MEM,71,795,8.5,0.426,0.027,0.239,7.8,14.3,11,5.9,1.8,0.9,8.9,14.8,-0.1,0.6,0.5,0.031,-3.4,-0.7,-4.1,-0.4,8.8,1,2010
Dennis Rodman,23,PF,37,V,LAL,23,657,8,0.388,0.043,0.848,11.2,34.1,22.9,6.2,0.8,1.3,32.9,6.5,-0.1,0.9,0.8,0.056,-3.5,2.3,-1.2,0.1,N/A,N/A,1999
Dennis Rodman,23,PF,36,V,CHI,80,2856,12.4,0.459,0.064,0.308,16.8,31.4,24.1,11.2,0.9,0.5,26.4,8.7,1.9,5.9,7.8,0.131,-1,3.7,2.7,3.4,N/A,N/A,1998
Dennis Rodman,23,PF,35,V,CHI,55,1947,13.9,0.479,0.066,0.308,18.9,32.2,25.6,11.4,0.9,0.7,25.5,10,2,4,6,0.148,-0.1,3.4,3.2,2.6,N/A,N/A,1997
Dennis Schroder,203471,PG,25,V,OKC,79,2314,12.7,0.508,0.33,0.206,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.6,-1.5,-3.1,-0.6,N/A,N/A,2019
Dennis Schroder,203471,PG,24,V,ATL,67,2078,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.2,1.7,0.2,12.7,30.4,1.5,1,2.6,0.059,1.5,-2.2,-0.7,0.7,N/A,N/A,2018
Dennis Schroder,203471,PG,23,V,ATL,79,2485,16.1,0.533,0.242,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,1.2,2.5,3.7,0.071,0.7,-1.4,-0.7,0.8,N/A,N/A,2017
Dennis Schroder,203471,PG,22,V,ATL,80,1621,15.5,0.51,0.306,0.233,1.7,11.8,6.9,36.1,2.1,0.4,17.5,28.8,-0.2,2.3,2.2,0.064,-0.5,-0.9,-1.4,0.3,N/A,N/A,2016
Dennis Schroder,203471,PG,21,V,ATL,77,1516,15.7,0.516,0.223,0.269,2.3,9.9,6.2,34.6,1.7,0.2,16.8,27,1.1,1.4,2.5,0.08,-0.4,-2.1,-2.4,-0.2,N/A,N/A,2015
Dennis Schroder,203471,1,20,R,ATL,49,641,5.8,0.442,0.223,0.229,0.9,9.9,5.4,22,1.3,0,22.8,19,-1.1,0.4,-0.7,-0.054,-6.2,-2.1,-8.3,-1,35.9,0.6,2014
Dennis Scott,192,SF,31,V,VAN,66,1263,9.4,0.515,0.568,0.171,1.5,8.6,5,8.7,1.2,0.5,7.7,14,1.4,0.1,1.5,0.057,-0.3,-2.6,-2.9,-0.3,N/A,N/A,2000
Dennis Scott,192,SF,30,V,TOT,36,738,10.1,0.516,0.455,0.146,1.2,8,4.5,8.7,1.1,0.3,7.7,15,0.7,0.5,1.2,0.08,-0.7,-1.6,-2.3,-0.1,N/A,N/A,1999
Dennis Scott,192,SF,29,V,TOT,81,2290,12.1,0.502,0.413,0.157,2.3,9.9,6.1,11.3,1.2,1.2,10.5,19.7,1.1,1.3,2.4,0.05,-0.3,-1.5,-1.8,0.1,N/A,N/A,1998
Dennis Scott,192,SF,28,V,ORL,66,2166,12.4,0.519,0.498,0.135,2.1,9.1,5.5,11.1,1.9,0.7,9.3,18.6,2,1.8,3.8,0.084,0.6,-0.6,0,1.1,N/A,N/A,1997
Dennis Smith Jr.,1628372,PG,21,V,TOT,53,1508,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0,0.001,-1.7,-0.9,-2.5,-0.2,N/A,N/A,2019
Dennis Smith Jr.,1628372,1,20,R,DAL,69,2049,12.8,0.473,0.331,0.188,2.6,11.8,7,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.5,-0.7,-2.3,-0.1,N/A,N/A,2018
Denzel Valentine,1627756,SG,24,V,CHI,77,2095,12.1,0.527,0.513,0.071,2.4,18.3,10.1,17.8,1.5,0.5,11.8,17.5,1,1.5,2.5,0.057,-0.4,-0.1,-0.5,0.8,N/A,N/A,2018
Denzel Valentine,1627756,2,23,R,CHI,57,976,7.3,0.492,0.722,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,-0.5,1.1,0.6,0.031,-2.4,-0.4,-2.8,-0.2,N/A,N/A,2017
DeQuan Jones,203199,3,22,R,ORL,63,803,8.4,0.485,0.161,0.234,2.4,12.4,7.4,3,1.2,2.1,11.1,15.3,-0.3,0.4,0.1,0.007,-5.1,-1.1,-6.1,-0.8,-1,-10,2013
Derek Anderson,1507,SF,32,V,CHA,50,1190,13.7,0.586,0.517,0.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,2,0.9,2.9,0.117,1.5,-0.4,1,0.9,N/A,N/A,2007
Derek Anderson,1507,SG,31,V,TOT,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,0.074,-1.2,-0.4,-1.5,0.1,N/A,N/A,2006
Derek Anderson,1507,SG,30,V,POR,47,1239,11.7,0.503,0.386,0.223,2.4,9.2,6,18.9,1.6,0.2,14,18.5,0.7,0.6,1.3,0.052,-0.3,-1.8,-2.1,0,N/A,N/A,2005
Derek Anderson,1507,SG,29,V,POR,51,1810,15.1,0.499,0.423,0.307,1.7,10.2,6,21.1,2,0.1,11.5,20.5,2.7,0.9,3.6,0.097,1.9,-1.6,0.3,1.1,N/A,N/A,2004
Derek Anderson,1507,PG,28,V,POR,76,2556,16.9,0.556,0.398,0.323,2.5,10,6.2,20.7,1.9,0.5,11.9,19.5,5.9,2.2,8.1,0.153,3.1,-0.6,2.5,2.9,N/A,N/A,2003
